"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Sat Com ETL Facility","https://www.usgbc.org/projects/sat-com-etl-facility","1 Mar 2004","Marlborough","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"Guild Row","https://www.usgbc.org/projects/guild-row","","Roxbury","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Millipore - Mobius Project - Danvers, MA","https://www.usgbc.org/projects/millipore-mobius-project-danvers-ma","3 Jun 2010","Danvers","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Greater Boston Food Bank","https://www.usgbc.org/projects/greater-boston-food-bank","17 May 2011","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Kennel construction/renovation","https://www.usgbc.org/projects/kennel-constructionrenovation","","Eastham","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"TUSDM Vertical Expansion","https://www.usgbc.org/projects/tusdm-vertical-expansion","24 Mar 2010","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Wheelock Campus Ctr & Student Residence","https://www.usgbc.org/projects/wheelock-campus-ctr-student-residence","6 Jan 2010","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"L.L. Bean Dedham","https://www.usgbc.org/projects/ll-bean-dedham","21 Apr 2010","Dedham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Sophia Gordon Residence Hall","https://www.usgbc.org/projects/sophia-gordon-residence-hall","25 Apr 2008","Somerville","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"100 Main Street - Reading, MA","https://www.usgbc.org/projects/100-main-street-reading-ma","","Reading","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Sheraton Boston Hotel","https://www.usgbc.org/projects/sheraton-boston-hotel","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Conservation Law Foundation Building Ext","https://www.usgbc.org/projects/conservation-law-foundation-building-ext","27 Oct 2003","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"Chelsea Collaborative","https://www.usgbc.org/projects/chelsea-collaborative","26 May 2010","Chelsea","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Certified"
"Kohl's Worcester","https://www.usgbc.org/projects/kohls-worcester","20 Nov 2012","Worcester","Massachusetts [MA]","United States [us]","Retail - New Construction","v2009","Gold"
"Harvard Northwest MCB Renovations","https://www.usgbc.org/projects/harvard-northwest-mcb-renovations","30 Aug 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Vanserg/Shannon Child Care Renovations","https://www.usgbc.org/projects/vansergshannon-child-care-renovations","12 Mar 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"60 State Street","https://www.usgbc.org/projects/60-state-street","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"J. Michael Ruane Judicial Center","https://www.usgbc.org/projects/j-michael-ruane-judicial-center","24 Jul 2012","Salem","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Bunker Hill CC Health & Wellness Center","https://www.usgbc.org/projects/bunker-hill-cc-health-wellness-center","14 Jan 2011","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Willard Elementary School","https://www.usgbc.org/projects/willard-elementary-school","","Concord","Massachusetts [MA]","United States [us]","Schools - New Construction","v2007",""
"North Hall Framingham State Univ","https://www.usgbc.org/projects/north-hall-framingham-state-univ","23 Jul 2012","Framingham","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"Weston Field Sports Complex","https://www.usgbc.org/projects/weston-field-sports-complex","","Williamstown","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Deerfield Academy Koch Center","https://www.usgbc.org/projects/deerfield-academy-koch-center","23 Aug 2007","Deerfield","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"0466 North Adams Public Library","https://www.usgbc.org/projects/0466-north-adams-public-library","25 Apr 2007","North Adams","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"ERM Boston","https://www.usgbc.org/projects/erm-boston","3 Aug 2012","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
"Ken Burns Wing","https://www.usgbc.org/projects/ken-burns-wing","12 May 2010","Amherst","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"Concord Road Corporate Center","https://www.usgbc.org/projects/concord-road-corporate-center","20 Aug 2009","Billerica","Massachusetts [MA]","United States [us]","Existing Buildings","v2008","Certified"
"Milton Academy Schwarz Student Center","https://www.usgbc.org/projects/milton-academy-schwarz-student-center","28 Feb 2005","Milton","Massachusetts [MA]","United States [us]","New Construction","v2.0","Certified"
"BAC 100 Fed 10th Floor","https://www.usgbc.org/projects/bac-100-fed-10th-floor","25 Mar 2009","boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"50 Washington","https://www.usgbc.org/projects/50-washington","12 Jun 2012","Westborough","Massachusetts [MA]","United States [us]","Core and Shell","v2009","Silver"
"One Main Financial, Chelmsford MA","https://www.usgbc.org/projects/one-main-financial-chelmsford-ma","13 Apr 2009","Chelmsford","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v1.0 pilot","Certified"
"One Brattle Square","https://www.usgbc.org/projects/one-brattle-square","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"GENZYME WEST KENDALL STREET","https://www.usgbc.org/projects/genzyme-west-kendall-street","4 Sep 2007","CAMBRIDGE","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
