,Path,Certification date,City,State,Country,Rating system,Version,Certification level
PHILIP J PHILBIN FOB,https://www.usgbc.org/projects/philip-j-philbin-fob,22-Jun-16,FITCHBURG,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Thomas W. McGee Extension Building,https://www.usgbc.org/projects/thomas-w-mcgee-extension-building,26-Sep-17,Lynn,Massachusetts [MA],United States [us],New Construction,v2009,Silver
TD Bank - Boston MA - 200 State Street,https://www.usgbc.org/projects/td-bank-boston-ma-200-state-street,24-Aug-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
John A Volpe Terminal E NLA Wing,https://www.usgbc.org/projects/john-volpe-terminal-e-nla-wing,14-Aug-17,East Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Arup Boston Office,https://www.usgbc.org/projects/arup-boston-office,19-Jul-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v4,Platinum
Davenport,https://www.usgbc.org/projects/davenport-0,18-Nov-16,Cambridge,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
131 Charlesbank Road,https://www.usgbc.org/projects/131-charlesbank-road,30-Nov-16,Newton,Massachusetts [MA],United States [us],Homes,v2008,Certified
11 Hurley Street,https://www.usgbc.org/projects/11-hurley-street,25-Jan-18,Cambridge,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
1 Patriot Park LFREP,https://www.usgbc.org/projects/1-patriot-park-lfrep,14-Jul-17,Bedford,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
The Center at Innovation Drive B400,https://www.usgbc.org/projects/center-innovation-drive-b400,1-May-18,Tewksbury,Massachusetts [MA],United States [us],Core and Shell,v2009,Certified
Ink Block Siena,https://www.usgbc.org/projects/ink-block-siena,28-Aug-18,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Peabody,https://www.usgbc.org/projects/peabody,29-Jun-17,Peabody,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Certified
89 A Street,https://www.usgbc.org/projects/89-street,13-Apr-18,Needham,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
FAS Shared Laboratory HEB,https://www.usgbc.org/projects/fas-shared-laboratory-heb,1-Aug-17,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
